player,player_id,author,skill,from_level,to_level,delta,week_from,week_to,date_from,date_to,weeks_in_interval,training_keys,training_names,clean_interval,from_baseline_week0,source
Jure Plesavec,53897751,pjtr576,rb,13,14,1,49,50,2025-08-22,2025-08-29,1,27,Rebounding,True,False,series
Jure Plesavec,53897751,pjtr576,sb,18,19,1,50,51,2025-08-29,2025-09-12,1,29,Shot Blocking,True,False,series
Jure Plesavec,53897751,pjtr576,dr,5,6,1,51,52,2025-09-12,2025-09-12,1,24,Inside Defense,True,False,series
Jure Plesavec,53897751,pjtr576,id,17,18,1,52,53,2025-09-12,2025-09-19,1,29,Shot Blocking,True,False,series
Jure Plesavec,53897751,pjtr576,pa,10,11,1,52,53,2025-09-12,2025-09-19,1,29,Shot Blocking,True,False,series
Rožle Ostroveršnik,53897574,pjtr576,id,7,8,1,1,2,2024-09-20,2024-09-27,1,29,Shot Blocking,True,False,series
Rožle Ostroveršnik,53897574,pjtr576,jr,2,3,1,2,3,2024-09-27,2024-10-04,1,29,Shot Blocking,True,False,series
Rožle Ostroveršnik,53897574,pjtr576,sb,7,8,1,2,3,2024-09-27,2024-10-04,1,29,Shot Blocking,True,False,series
Rožle Ostroveršnik,53897574,pjtr576,sb,8,9,1,3,4,2024-10-04,2024-10-11,1,29,Shot Blocking,True,False,series
Rožle Ostroveršnik,53897574,pjtr576,is,5,6,1,4,5,2024-10-11,2024-10-18,1,29,Shot Blocking,True,False,series
Rožle Ostroveršnik,53897574,pjtr576,id,8,9,1,5,6,2024-10-18,2024-10-25,1,29,Shot Blocking,True,False,series
Rožle Ostroveršnik,53897574,pjtr576,rb,7,8,1,5,6,2024-10-18,2024-10-25,1,29,Shot Blocking,True,False,series
Rožle Ostroveršnik,53897574,pjtr576,sb,9,10,1,5,6,2024-10-18,2024-10-25,1,29,Shot Blocking,True,False,series
Rožle Ostroveršnik,53897574,pjtr576,od,2,3,1,7,8,2024-11-01,2024-11-08,1,27,Rebounding,True,False,series
Rožle Ostroveršnik,53897574,pjtr576,ft,2,3,1,8,9,2024-11-08,2024-11-15,1,27,Rebounding,True,False,series
Rožle Ostroveršnik,53897574,pjtr576,rb,8,9,1,8,9,2024-11-08,2024-11-15,1,27,Rebounding,True,False,series
